店舗,店舗名,郵便番号,地域,住所,営業時間,定休日,メニュー1,価格1,メニュー2,価格2,メニュー3,価格3,メニュー4,価格4,メニュー5,価格5,内容,備考,電話番号,座席数,駐車場台数,緯度,経度,画像URL1,画像URL2,画像URL3,画像URL4
11,魚処　定吉,914-0061,敦賀,敦賀市蓬莱町17-25漁協福祉会館２階,8:00～16:00,火,海鮮丼,"1,620",,,,,,,,,朝仕入れた鮮鮮魚に丁寧な仕込みをしたネタ４～６種と自家製出汁巻き玉子を添えて上段に盛り込み、下段には人肌に冷ました銀シャリに刻み海苔を散らしイクラ（通年提供出来るよう自家冷凍した物）をあしらって、上下２段に器を重ねて丼スタイルを構成。アラ汁を添えます。,,0770-23-1871,30,なし（近隣に駐車場あり）,35.6567862,136.0663993,http://info.pref.fukui.jp/opendata/wakasaji/12-1.jpg,,,
12,地魚料理　まるさん屋,914-0054,敦賀,敦賀市白銀町6-41,11:00～23:30（月～土）、11:00～22:30（日・祝）,,名物せっと,"1,620",お刺身丼,"1,944",,,,,,,敦賀港直送の新鮮な地魚を使用。醤油にもこだわり、自家製の丼醤油と土佐醤油の２種類を、お客様のお好みで使っていただけるよう提供しています。越前名物辛み大根使用のおろしそば又はもりそばと、バッテラ、焼き鯖、穴子、鯛の中からお好きなお寿司を全部で６貫お選びいただけます。海鮮丼、お刺身御膳など、魚問屋ならではの新鮮な魚介類を使った料理がそろっています。,,0770-22-4528,150,10,35.6462587,136.0737418,http://info.pref.fukui.jp/opendata/wakasaji/10-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/10-2.jpg,,
13,越前そば　むぎや,914-0051,敦賀,敦賀市本町１-7-21,11:30～15:00、17:00～21:00,水(祝日の場合は営業）,芭蕉御膳,"1,100",,,,,,,,,創業１８０余年の越前そばの老舗。「手がき太白おぼろ昆布」でくるんだ梅おむすびと月見そばの組み合わせは、松尾芭蕉が「奥の細道」敦賀で詠んだ「月」にちなんだ句を連想して考案しました。,,0770-22-0514,28,なし（近隣に駐車場あり）,35.6514515,136.0730189,http://info.pref.fukui.jp/opendata/wakasaji/11-1.jpg,,,
14,桃花園,914-0141,敦賀,敦賀市莇生野96-8-6,11:00～20:30,水,へしこ焼飯ランチ,980,,,,,,,,,中華店の焼飯に、美浜名物の「鯖のへしこ」をトッピング。絶品です。また、サラダには敦賀港で獲れた魚で仕込んだ魚醤と伝統野菜「黒河まな」で作った「敦賀ドレッシング」を使用しています。一度、召し上がれ！,,0770-23-0456,36,20,35.6269376,136.0457369,http://info.pref.fukui.jp/opendata/wakasaji/13-1.jpg,,,
15,海辺の宿　長兵衛,914-0834,敦賀,敦賀市名子43-3,11:00～14:00,月（祝日の場合は翌火曜日）、年末年始他,若狭の幸尽くし　おまかせ　ひる膳,"3,780",海鮮のっけごはん「長兵衛」,"2,138",,,,,,,平日限定の“のっけごはん”シリーズ一番人気は旬のネタが盛り盛りの海鮮丼セット「長兵衛」。サイドメニューの日替わり小鉢や真鯛のあら汁も評判です。海辺の宿ならではの新鮮素材を活かしたお膳セット。メインは季節毎の旬の味覚を盛り込みます。敦賀湾一望のお食事処で、ちょっぴり贅沢なランチをお楽しみください。,火曜～金曜のみ提供,0770-23-7818,140,50,35.6764198,136.0314273,http://info.pref.fukui.jp/opendata/wakasaji/14-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/14-2.jpg,,
16,カメレオン食堂,914-0054,敦賀,敦賀市白銀町5-29　ホテルスイートピー1F,11:30～15:00、18:00～23:00,月,へしこのペペロンチーノ,"1,000",,,,,,,,,鯖のへしこの風味とコクがオリーブオイルに良く合った上品なペペロンチーノをご賞味ください。,,0770-24-3717,30,なし,35.6459857,136.0744472,http://info.pref.fukui.jp/opendata/wakasaji/15-1.jpg,,,
17,味世司,914-0125,敦賀,敦賀市若葉町1-1531 日本海さかな街内,9:30～18:00,日本海さかな街の定休日に準ずる,豪海丼,"1,980",,,,,,,,,地物の鯛、本鮪中トロ、生しらす、いくら等、豪華に全10種盛り付けた丼ぶりです。お米は福井ブランド「コシヒカリ」を使用しております。,,0770-21-3829,74,400,35.6349417,136.0489636,http://info.pref.fukui.jp/opendata/wakasaji/16-1.jpg,,,
18,味’ｓ場（みつば）,914-0125,敦賀,敦賀市若葉町1-1531 日本海さかな街内,10:00～18:00,日本海さかな街の定休日に準ずる,漁火丼（いさりびどん）,"1,500",海鮮プレートランチ,"1,200",,,,,,,日本海の王様ズワイガニを中心に、タイや甘エビ、うに、いくらなどを豪快に盛り付けた当店スペシャル海鮮丼！,,0770-21-3807,80,400,35.6349417,136.0489796,http://info.pref.fukui.jp/opendata/wakasaji/17-1.jpg,,,
19,寿司処　新鮮組,914-0125,敦賀,敦賀市若葉町1-1531 日本海さかな街内,10:00～18:00,日本海さかな街の定休日に準ずる,新鮮ちらし,"1,580",,,,,,,,,福井県産コシヒカリを使用したシャリの上に、自慢の本マグロや地物のタイ等を贅沢に載せたちらしです。他にも珍しい限定の珍魚の寿司もたくさんご用意しています。,,0770-21-1477,30,400,35.6349417,136.0489636,http://info.pref.fukui.jp/opendata/wakasaji/18-1.jpg,,,
20,そば処　又八庵,914-0314,敦賀,敦賀市杉箸79-42,10:00～17:00,月～金（前日までの予約で営業可）,さくらちらし御膳,"1,350",さくらちらし寿司（へしこ入り）,700,,,,,,,さくらちらし御膳は、さくらちらし寿司とおろしそば（十割そば）をメインにした御膳で、アカカンバの糠漬けと素朴な田舎料理です。,,0770-27-1048,20,10,35.6163522,136.1453702,http://info.pref.fukui.jp/opendata/wakasaji/19-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/19-2.jpg,,
21,港ダイニングしおそう,914-0037,敦賀,敦賀市堂45-1-1,11:30～14:00、17:30～23:00,年末年始,超海鮮丼,"1,980",サーモンといくらの親子丼,"1,404",,,,,,,超海鮮丼は、人気の「定番海鮮丼」の豪華バージョンです。使われている酢飯は創業110年塩荘の「元祖　鯛鮨」で使われているものと同じものを使っており、お米は福井ブランド米をこだわりのオリジナルブレンドにしております。,,0770-25-2081,80,50,35.6296377,136.0730525,http://info.pref.fukui.jp/opendata/wakasaji/21-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/21-2.jpg,,
22,豪快鉄板焼き　海坊主,914-0125,敦賀,敦賀市若葉町1-1531日本海さかな街内,10:00～18:00,日本海さかな街の定休日に準ずる,浜焼きとろ鯖定食,980,,,,,,,,,若狭のソウルフード「鯖」の一夜干しを丸々一尾焼き上げ、盛り付けたシンプルな定食です。身が厚くなり、脂の乗る漁期の鯖のみを使用しているため、焼き上げ時のジューシー感がポイントです。,,0770-47-5594,45,400,35.6349417,136.0489796,http://info.pref.fukui.jp/opendata/wakasaji/022-1.jpg,,,
23,生け簀の甲羅,914-0072,敦賀,敦賀市金ケ崎町4-1 敦賀赤レンガ倉庫内,11:00～13:45、18:00～21:00（日・祝：16:30～18:00）,水（その他赤レンガ倉庫休館日）,生・サーモン・いくら丼（みそ汁付）,"1,500",,,,,,,,,使用するサーモンは、脂ののった魚体5kg以上の大型サイズを一尾まるごと未冷凍で仕入れ、さばきます。また、いくらは定置網で漁獲された秋鮭から取り出し、秘伝のタレで味付け。粒の大きさと、味と、食感のすばらしいイクラです。,,0770-47-6338,40,60,35.66193,136.074533,http://info.pref.fukui.jp/opendata/wakasaji/023-1.jpg,,,
24,ソニョーポリ,914-0072,敦賀,敦賀市金ケ崎町4-1 敦賀赤レンガ倉庫内,11:30～14:00、18:00～22:00,水（その他赤レンガ倉庫休館日）,福井サーモンと地物甘エビのメダル仕立て旬野菜と甘エビコンソメのジュレ添え（日替わりパスタかリゾット、コーヒー付き）,"1,500",,,,,,,,,敦賀を中心とした嶺南でとれる食材を美しく軽やかに表現してみました。甘エビをむいたカラからとったコンソメのジュレをお皿に添えました。,,0770-47-6707,60,60,35.66193,136.074533,http://info.pref.fukui.jp/opendata/wakasaji/024-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/024-2.jpg,,
25,鮮宴丼ひろし,914-0125,敦賀,敦賀市若葉町1-1531日本海さかな街内,10:00～18:00,日本海さかな街の定休日に準ずる,豪快あぶりサーモン丼,"1,380",,,,,,,,,脂の乗った大型サイズのサーモンを一尾丸ごと仕入れて店内調理しています。あえて鮮度の良いサーモンを炙ることにより、より一層風味が増します。余分な脂を落とし、サーモン本来の旨味を楽しめます。豪快に盛り付けられた丼を賞味ください。,,0770-47-5978,40,400,35.6349417,136.0489796,http://info.pref.fukui.jp/opendata/wakasaji/025-1.jpg,,,
26,藤八（とうはち）,919-1138,美浜,美浜町河原市18-10-3,11:00～14:00、17:00～21:30（冬）、～22:30（夏）,木（10名以上予約の時は営業）,美浜へしこ膳,"1,000",若狭美浜名産へしこご飯＆うどんセット,860,,,,,,,厳選されたへしこの旨味が詰まったまぜご飯。美浜町、嶺南地域が元気になるよう、自分のできることで何か貢献していきたいと思いながら店を開け、観光のお客さんにも地元の皆さんと明るく元気に接し、また嶺南のＰＲをしています。へしこの販売もしておりますので、ぜひお買い求めください。,,0770-32-2255,72,8,35.6063727,135.9466078,http://info.pref.fukui.jp/opendata/wakasaji/27-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/27-2.jpg,,
27,軽食　喫茶　オーロラ,919-1123,美浜,美浜町久々子33-44-1,8:30～17:00,水,へしこスパゲティー（フルーツ、コーヒー付き）,"1,000",へしこ定食（フルーツ、コーヒー付き）,"1,000",へしこ丼（フルーツ、コーヒー付き）,"1,000",彩りへしこプレート（へしこサンド＆へしこカルパッチョ＆へしこチヂミの３種盛り）,"1,200",,,「へしこの町・美浜」のやみつきになると評判のへしこをお手軽に味わえるスパゲティー。焼いてほぐしたへしこの塩味と野菜の旨味が味を引き立てます。ご飯、焼いたへしこの切り身、みそ汁と小鉢。ご飯の上に半熟の炒り卵と焼いたへしこをのせのりをまぶし、みそ汁と小鉢。へしこプレートは、へしこを県外の人にも美味しく食べてもらうため、試行錯誤の結果生まれたアレンジメニュー。,,0770-32-1094,45,20,35.6006371,135.9172041,http://info.pref.fukui.jp/opendata/wakasaji/24-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/24-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/24-3.jpg,http://info.pref.fukui.jp/opendata/wakasaji/24-4.jpg
28,割烹　おとり,919-1123,美浜,美浜町久々子20-1-3,11:30～14:00、17:00～19:00,水,刺身定食,"1,800",寿司（特巻）,"2,300",,,,,,,地産地消で、地元の食材を使った料理を提供しています。新鮮な若狭の魚、福井県の米を使っています。若狭の魚と福井県産のお米を使ったボリュームたっぷりの巻きずしです。,,0770-32-2210,20,10,35.6059605,135.9161567,http://info.pref.fukui.jp/opendata/wakasaji/23-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/23-2.jpg,,
29,渓流の里,919-1144,美浜,美浜町新庄286-5-1,日の出～18:00,,渓流定食,"2,200",,,,,,,,,新庄特別栽培米（やまびこ米）のご飯、マスの刺身、アマゴの塩焼き、あられフライ（マスの唐揚げ)、よもぎそば、小鉢、漬物。注文をいただいた後、川魚をその場で水揚げして調理します。新鮮な山、里・川の幸をご堪能ください。季節に応じて食材を変更させていただくことがあります。,,0770-32-5580,30,50,35.5303967,135.9793096,http://info.pref.fukui.jp/opendata/wakasaji/29-1.jpg,,,
30,五湖の駅,919-1123,美浜,美浜町久々子72-1,9:30～17:30,年末年始,焼鯖定食,780,,,,,,,,,若狭と言えば焼鯖!美味しい美浜産のお米と共にどうぞ！お手軽に若狭路の食をお楽しみいただける定食です。近海物のお魚やイカ、甘エビ、へしこ、小鯛の笹漬けなど若狭の海の幸ぎっしり☆是非ご賞味ください。※土日祝限定メニューです（冬季はお休みします）,,0770-32-3339,50,30,35.6022968,135.927782,http://info.pref.fukui.jp/opendata/wakasaji/28-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/28-2.jpg,,
31,美浜食堂,919-1146,美浜,美浜町大藪30-1,7:00～19:30,不定,地元の定食,800,さば竜田ピリ辛白みそ丼,900,,,,,,,美浜名物の「へしこ」のおにぎり、久々子湖で獲れた「しじみ」のみそ汁、三方の梅干し、地元野菜の天ぷら、天ぷら用の梅塩も、三方梅の販売所で買ったもの。地元の食材にこだわった、お得な定食です。丼は、しょうゆダレに合う白みそをアクセントにしました。,,0770-32-0144,40,20,35.595972135.595964,135.919775,http://info.pref.fukui.jp/opendata/wakasaji/25-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/25-2.jpg,,
32,レインボーラインレストラン,919-1301,若狭,若狭町気山18-2-2,8:30～17:00,年末年始,梅丈定食,880,,,,,,,,,梅丈岳から見下ろす若狭湾でとれた海の幸、タコを生姜ベースに地元のお米で炊きこんだ、あっさり味のおいしいたこ飯と、アジをフライにした食べやすい定食です。,,0770-45-2678,30,500,35.6025301,135.8716266,http://info.pref.fukui.jp/opendata/wakasaji/30-1.jpg,,,
33,道の駅　若狭熊川宿　四季彩館,919-1532,若狭,若狭町熊川11‐1‐1,9:00～18:00(3月～11月）、9:30～17:30（12月～2月）,木,四季彩丼,800,,,,,,,,,若狭名物「浜焼き鯖」と熊川名物「熊川くず」を贅沢に使用した道の駅若狭熊川宿オリジナルどんぶり。浜焼き鯖の身を甘辛く味付けしフレーク状にしたものを、熊川くずに混ぜ込みあんかけにした和風テイストのどんぶりです。,,0770-62-9111,70,30,35.4408129,135.9046339,http://info.pref.fukui.jp/opendata/wakasaji/033-1.jpg,,,
34,若狭食堂　かみなか亭,919-1536,若狭,若狭町三宅80-27,11:00～15:00,年末年始,若狭御膳,"1,490",,,,,,,,,自家製ダレに一晩漬け込み味付けした鯖を香ばしく焼き上げ、焼き鯖寿司を作っています。,,0770-62-2166,140,40,35.4617185,135.8647441,http://info.pref.fukui.jp/opendata/wakasaji/31-1.jpg,,,
35,和伊和伊亭,919-1536,若狭,若狭町三宅93-4-1,11:00～14:00、17:30～22:00,火,若狭スパゲッティ,"1,000",,,,,,,,,甘味たっぷり「谷田部ねぎ」、おいしい「名田庄しいたけ」、マイルドな酸味の「梅びしお」、ピリッと大人味「柑なんば」を和伊和伊亭風に和風ガーリックオイルでまとめてみました。,,0770-62-2611,40,8,35.4629155,135.8585827,http://info.pref.fukui.jp/opendata/wakasaji/38-1.jpg,,,
36,喫茶スクウル,919-1301 ,若狭,若狭町気山172-4-1,7:00～18:00,,ホットサンドセット,"1,000",サーモンサラダセット,"1,300",,,,,,,当店人気のホットサンドイッチに、自家製ジャムをトッピングしたアイスクリーム、ホットコーヒーが付いたお得なセットメニューです。地元の食材を使用しています。サーモンサラダセットは、当店自慢の地元の里山の幸をふんだんに取り入れたミックスサンドイッチと地元の野菜をたっぷり使ったサーモンサラダをセットに。サーモンは甘酢仕立てで生臭さを感じません。,サーモンサラダセットは4日前までに要予約,0770-45-1118,35,20,35.5834513,135.910116,http://info.pref.fukui.jp/opendata/wakasaji/33-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/33-2.jpg,,
37,里山カフェ＆クラフトギャラリー　ここいろ,919-1522,若狭,若狭町末野43-18-1,11:00～14:00,土日月、お盆、冬季,ここいろランチ,"1,000",,,,,,,,,地産地消にこだわった日替わりランチです。かみなか農楽舎で採れた米を毎日、かまどで炊いています。,,0770-62-2233,40,15,35.4813083,135.889871,http://info.pref.fukui.jp/opendata/wakasaji/34-1.jpg,,,
38,魚三（うおさん）,919-1331,若狭,若狭町鳥浜25-40,9:00～18:30,水,うな重（竹）,"1,650",まかない丼,820,,,,,,,秘伝のタレがうなぎの味を引き立てます。口いっぱいに広がる香りと食感をぜひ味わってください。刻んだ蒲焼に、生卵、ネギとノリが加わり、ご飯にからむことで絶妙なハーモニーが生まれます。食欲をそそる一品！,仕入れ価格の高騰によって、値段は変更となる可能性があります。,0770-45-0894,8×3部屋,6,35.5548188,135.9083139,http://info.pref.fukui.jp/opendata/wakasaji/35-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/35-2.jpg,,
39,Saba*Caf?,919-1532,若狭,若狭町熊川12-16-2,11:00～17:00（L.O16:30）,水、他不定、冬,Sabaサンド,"1,080",,,,,,,,,フランスパンにジューシーな鯖のフィレをサンド。若狭産の「柑なんば」（若狭産「獅子ユズ」とコシヒカリを使った米麹、唐辛子などを合わせたピリッと辛い新感覚のユズみそ）を使ったsaba*Cafe特製マヨネーズでどうぞ。,前日の11時～15時の予約（電話連絡のみ）で必ず提供,0770-62-9048,店内16、屋外12,10,35.4416652,135.9059716,http://info.pref.fukui.jp/opendata/wakasaji/36-1.jpg,,,
40,ドライブイン　よしだ,919-1461,若狭,若狭町海山70-3,9:00～18:00,不定,イカ丼,"1,450",,,,,,,,,湖を眺めながら、当店オリジナルの丼ぶりをどうぞ。山芋、大葉、イカが特製醤油でそれぞれの味を主張させています。,,0770-47-1438,100,40,35.5846344,135.8676891,http://info.pref.fukui.jp/opendata/wakasaji/37-1.jpg,,,
41,洋食家がじゅまろ,917-0023,小浜,小浜市府中15-8,11:00～15:00、17:00～21:00,月,炙り若狭牛ドレスドオムライス風,"1,500",極旨洋風たれ若狭路丼～若狭牛と小浜サーモンの組み合わせ～,"1,500",,,,,,,極旨洋風たれ若狭路丼は、地元の食材、海の幸・里山の幸を洋食にアレンジ。贅沢にも小浜サーモンと若狭牛のコラボ！地元食材のワカメや野菜など地元「愛」が詰まったメニューになりました。がじゅまろ特製レモン生姜醤油でさっぱりと召し上がってください！,3日前までに要予約,0770-52-0408,26,30,35.494044,135.758367,http://info.pref.fukui.jp/opendata/wakasaji/041-1.jpg,,,
42,ホテル若杉,917-0077,小浜,小浜市駅前町7-16,11:00～13:30、17:30～21:00,,小浜三昧さば御膳,"2,700",満腹さば御膳,"1,500",サーモンムニエル御膳,"1,000",,,,,小浜三昧さば御膳は、焼きたての浜焼さばを生姜醤油で。ぐじ（甘鯛）の唐揚げも付いてボリューム満点です。満腹さば御膳は、生さばを1/2使用、お一人で2度おいしく小浜名物のさばを味わって頂けます。サーモンムニエル御膳は、分厚くカットしたサーモンをたっぷりのバターでふっくら香ばしく焼き上げました。,要予約（小浜三昧さば御膳）,0770-52-0900,45,20,35.4925535,135.7460536,http://info.pref.fukui.jp/opendata/wakasaji/53-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/53-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/53-3.jpg,
43,お食事処　みつや,917-0063,小浜,小浜市小浜酒井1-52,11:00～15:00、17:00～21:00,月,若狭路鯖定食,"1,150",,,,,,,,,小浜の名物、魚の旨味を引き立たせた「鯖の醤油干し」と、身もふっくらジューシーな「鯖の塩焼き」の食感の違いをお楽しみください。鯖の塩焼きのみの定食（860円）もございます。当店ではその他旬の魚料理、一品料理、定食、麺類、丼ものなど多種ご用意しております。,,0770-52-0239,28,3,35.4945114,135.7434559,http://info.pref.fukui.jp/opendata/wakasaji/42-1.jpg,,,
44,松月観の宿　いたや,917-0105,小浜,小浜市阿納10-4,11:00～15:00,不定（週1日）,ミニ懐石,"3,024",若狭ちらし海鮮丼,"1,500",,,,,,,昼間の喧騒を逃れ、のんびりと入浴しながら、ゆったりと流れる時をお楽しみください。ネタは7種で。旬の地魚を盛り込んだ海鮮丼です。小鉢、漬物、お吸い物が付きます。,,0770-54-3001,70,20,35.5345093,135.7853829,http://info.pref.fukui.jp/opendata/wakasaji/39-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/39-2.jpg,,
45,お食事処　はまがわ,917-0078,小浜,小浜市駅前町7-3,11:00～15:00、17:30～20:30,水,ぐじ若狭焼定食,"1,500",海鮮てんはま丼,"1,300",,,,,,,若狭の海の幸の王様、高級魚「若狭ぐじ」をさっと一汐して、丁寧に焼き上げました。素材のうまさをそのまま味わっていただけるリーズナブルな定食です。若狭小浜港で水揚げされた新鮮な魚と、若狭の名物鯖のへしこを、小浜産コシヒカリの上にてんこ盛りにした丼です。,,0770-52-0074,37,4,35.4925121,135.7456855,http://info.pref.fukui.jp/opendata/wakasaji/40-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/40-2.jpg,,
46,若狭マリンプラザ,917-0046,小浜,小浜市岡津44,10:00～19:30,,若狭御膳,"1,100",海鮮丼,"1,400",若狭御膳,"1,300",,,,,新鮮なお刺身と、焼き立てアツアツの鯖をお召し上がりください。米は地元のコシヒカリを使用。海鮮丼に使う醤油も地元で人気の甘みのあるものを使用。,,0770-53-2100,20,60,35.4817451,135.656138,http://info.pref.fukui.jp/opendata/wakasaji/41-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/41-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/41-3.jpg,
