番号,百景,ポイント,説明,緯度,経度,写真,画像URL1,画像URL2,画像URL3,画像URL4,画像URL5
4_3,文人墨客に愛された名湯　あわら温泉,赤ちょうちんが灯る屋台村「湯けむり横丁」,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.223492,136.192963,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/43.jpg,,,,
4_4,文人墨客に愛された名湯　あわら温泉,あわら温泉の芸妓,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.224094,136.192657,,,,,,
4_5,文人墨客に愛された名湯　あわら温泉,あわら温泉湯かけ祭,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.224339,136.1931,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/45.jpg,,,,
4_6,文人墨客に愛された名湯　あわら温泉,温泉街に続く並木道（あわら市井江葭),あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.223118,136.213425,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/46.jpg,,,,
4_7,文人墨客に愛された名湯　あわら温泉,渡り鳥が飛来する大堤（通称「鴨池」）（坂井市三国町加戸）,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.228722,136.178802,,,,,,
5_1,多彩な果樹が迎える　坂井丘陵フルーツライン,香り漂うラベンダー畑（坂井市三国町加戸）,坂井北部丘陵地の中央には広域農道（フルーツライン）が横断し、その農道沿いには、梨畑、西瓜畑、ブロッコリー畑、ラベンダー畑などが並び、季節によって色鮮やかな顔を見せてくれます。,36.235516,136.176346,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/51.jpg,,,,
5_2,多彩な果樹が迎える　坂井丘陵フルーツライン,坂井北部丘陵地を走る広域農道（フルーツライン）（坂井市三国町陣ヶ岡）,坂井北部丘陵地の中央には広域農道（フルーツライン）が横断し、その農道沿いには、梨畑、西瓜畑、ブロッコリー畑、ラベンダー畑などが並び、季節によって色鮮やかな顔を見せてくれます。,36.2369,136.144302,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/52.jpg,,,,
5_3,多彩な果樹が迎える　坂井丘陵フルーツライン,朝日に映るビニールハウス（あわら市井江葭）,坂井北部丘陵地の中央には広域農道（フルーツライン）が横断し、その農道沿いには、梨畑、西瓜畑、ブロッコリー畑、ラベンダー畑などが並び、季節によって色鮮やかな顔を見せてくれます。,36.233959,136.215195,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/53.jpg,,,,
5_4,多彩な果樹が迎える　坂井丘陵フルーツライン,ブロッコリー畑（あわら市城新田）,坂井北部丘陵地の中央には広域農道（フルーツライン）が横断し、その農道沿いには、梨畑、西瓜畑、ブロッコリー畑、ラベンダー畑などが並び、季節によって色鮮やかな顔を見せてくれます。,36.254242,136.188461,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/54.jpg,,,,
5_5,多彩な果樹が迎える　坂井丘陵フルーツライン,森の中にある水辺の広場（金津創作の森）（あわら市宮谷）,坂井北部丘陵地の中央には広域農道（フルーツライン）が横断し、その農道沿いには、梨畑、西瓜畑、ブロッコリー畑、ラベンダー畑などが並び、季節によって色鮮やかな顔を見せてくれます。,36.231327,136.261154,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/55.jpg,,,,
6_1,天下の奇勝　東尋坊,東尋坊（国天然記念物名勝）,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.237759,136.126236,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/61.jpg,,,,
6_2,天下の奇勝　東尋坊,東尋坊からの夕陽,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.237644,136.125671,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/62.jpg,,,,
6_3,天下の奇勝　東尋坊,日本海から見る神の島「雄島」,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.250546,136.116379,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/63.jpg,,,,
6_4,天下の奇勝　東尋坊,文学碑の小径「荒磯遊歩道」,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.235767,136.127014,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/64.jpg,,,,
6_5,天下の奇勝　東尋坊,伝統ある「雄島祭り」,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.249695,136.123154,,,,,,
6_6,天下の奇勝　東尋坊,岬の突端に浮かぶ「越前松島」,東尋坊は、マグマが冷え固まってできた輝石安山岩の柱状節理が、海の荒波を受けてできた岸壁です。高さ20ｍ以上の岩肌が日本海にそそり立ち、国の天然記念物および名勝の指定を受けています。,36.252823,136.1409,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/66.jpg,,,,
7_1,北前船の栄華漂う湊町　三国,格子窓の連なる町並み（右　旧岸名家（国登録文化財）、左　三国湊町家館）,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.213875,136.148865,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/71.jpg,,,,
7_2,北前船の栄華漂う湊町　三国,立ち並ぶ町家、土蔵,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.214844,136.145767,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/72.jpg,,,,
7_3,北前船の栄華漂う湊町　三国,初秋の風物詩「帯のまち流し」,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.216278,136.14476,,,,,,
7_4,北前船の栄華漂う湊町　三国,旧森田銀行本店（国登録文化財）,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.213558,136.149475,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/74.jpg,,,,
7_5,北前船の栄華漂う湊町　三国,アーチを描く眼鏡橋（国登録文化財）,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.21994,136.14122,,,,,,
7_6,北前船の栄華漂う湊町　三国,三国のランドマーク「みくに龍翔館」,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.219814,136.152008,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/76.jpg,,,,
7_7,北前船の栄華漂う湊町　三国,北陸を代表する祭「三国祭」（県民俗文化財）,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.20813,136.155991,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/77.jpg,,,,
7_8,北前船の栄華漂う湊町　三国,瀧谷寺の庭園（国名勝）,三国の町並みは、北前船の寄港地として栄えた江戸時代からのもので、古い湊町ならではの風情が漂っています。その町並みは、九頭竜川に沿って立ち並ぶ町家、商家、土蔵、旧遊郭に見られます。 ,36.221756,136.146133,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/78.jpg,,,,
8_1,コシヒカリのふるさと　坂井平野,豊かな実りをむかえた坂井平野,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.179974,136.241577,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/81.jpg,,,,
8_2,コシヒカリのふるさと　坂井平野,田植え後の坂井平野,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.159985,136.227386,,,,,,
8_3,コシヒカリのふるさと　坂井平野,道の駅「いねす」（坂井市坂井町蔵垣内）,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.17128,136.22171,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/83.jpg,,,,
8_4,コシヒカリのふるさと　坂井平野,田植えの途中の休憩,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.148827,136.178192,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/84.jpg,,,,
8_5,コシヒカリのふるさと　坂井平野,稲わらの天日乾し,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.153053,136.178711,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/85.jpg,,,,
8_6,コシヒカリのふるさと　坂井平野,麦刈,坂井平野は、福井を代表する米どころであり、５月に植えられた稲は、秋が近づくと一斉に色づき、一面黄金色に染まった光景は壮大で、夕日に照らされて、どこまでも広がる稲穂の海がさやさやと風に鳴ります。,36.177273,136.239304,,,,,,
9_1,田園の中のオアシス　春江ゆりの里,色とりどりのゆりが咲き誇る「ゆりの里公園」（坂井市春江町石塚）,"ゆりの里公園では６月にゆりフェスタが開催され、3,800㎡の展示圃場に２0種類、３万本のゆりとゆり科の植物が一面を埋め尽くし、６月下旬には色とりどりのゆりが微笑みかけます。",36.148174,136.188354,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/91.jpg,,,,
9_2,田園の中のオアシス　春江ゆりの里,ゆりの里公園のシンボル「ユリーム春江」,"ゆりの里公園では６月にゆりフェスタが開催され、3,800㎡の展示圃場に２0種類、３万本のゆりとゆり科の植物が一面を埋め尽くし、６月下旬には色とりどりのゆりが微笑みかけます。",36.148575,136.188583,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/92.jpg,,,,
9_3,田園の中のオアシス　春江ゆりの里,紀倍神社の参道と松並木（坂井市春江町木部西方寺）,"ゆりの里公園では６月にゆりフェスタが開催され、3,800㎡の展示圃場に２0種類、３万本のゆりとゆり科の植物が一面を埋め尽くし、６月下旬には色とりどりのゆりが微笑みかけます。",36.15839,136.17453,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/93.jpg,,,,
9_4,田園の中のオアシス　春江ゆりの里,次代の子どもたちが集う「エンゼルランドふくい」（坂井市春江町東太郎丸）,"ゆりの里公園では６月にゆりフェスタが開催され、3,800㎡の展示圃場に２0種類、３万本のゆりとゆり科の植物が一面を埋め尽くし、６月下旬には色とりどりのゆりが微笑みかけます。",36.130875,136.216644,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/94.jpg,,,,
9_5,田園の中のオアシス　春江ゆりの里,藤鷲塚のフジ（県天然記念物）,"ゆりの里公園では６月にゆりフェスタが開催され、3,800㎡の展示圃場に２0種類、３万本のゆりとゆり科の植物が一面を埋め尽くし、６月下旬には色とりどりのゆりが微笑みかけます。",36.144482,136.214767,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/95.jpg,,,,
10_1,日本最古の天守閣　丸岡城,日本最古の天守閣　丸岡城（国重文）,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.152431,136.272232,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/101.jpg,,,,
10_2,日本最古の天守閣　丸岡城,丸岡城　外堀跡,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.150654,136.267944,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/102.jpg,,,,
10_3,日本最古の天守閣　丸岡城,丸岡城から眺める冬の城下町,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.152302,136.272095,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/103.jpg,,,,
10_4,日本最古の天守閣　丸岡城,丸岡古城まつり５万石パレード出陣,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.152351,136.271255,,,,,,
10_5,日本最古の天守閣　丸岡城,冬の丸岡城のライトアップ,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.152283,136.272308,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/105.jpg,,,,
10_6,日本最古の天守閣　丸岡城,石碑「一筆啓上火の用心お仙泣かすな 馬肥せ」,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.15237,136.272354,,,,,,
10_7,日本最古の天守閣　丸岡城,一筆啓上とかまぼこ板の絵のコラボ作品,坂井市丸岡町にある丸岡城は、柴田勝豊（勝家の甥）が天正４年（1576年）に北庄城の支城として築城したお城で、２重３層の天守閣は望楼式天守で、現存する日本最古の天守閣です。,36.152527,136.273697,,,,,,
11_1,桜吹雪舞う悠久の山里　竹田,咲き誇るしだれ桜（たけくらべ広場）,しだれ桜が咲く美しい竹田の里では、毎年４月にしだれ桜まつりが開かれ、6万人を超える観光客で賑わい、訪れた人をしだれ桜の世界に引き込みます。,36.174072,136.330154,,,,,,
11_2,桜吹雪舞う悠久の山里　竹田,竹田の里全景,しだれ桜が咲く美しい竹田の里では、毎年４月にしだれ桜まつりが開かれ、6万人を超える観光客で賑わい、訪れた人をしだれ桜の世界に引き込みます。,36.176544,136.331024,,,,,,
11_3,桜吹雪舞う悠久の山里　竹田,しだれ桜のライトアップ（たけくらべ広場,しだれ桜が咲く美しい竹田の里では、毎年４月にしだれ桜まつりが開かれ、6万人を超える観光客で賑わい、訪れた人をしだれ桜の世界に引き込みます。,36.174015,136.330414,,,,,,
11_4,桜吹雪舞う悠久の山里　竹田,花菖蒲と千古の家（坪川家住宅）（国重文）,しだれ桜が咲く美しい竹田の里では、毎年４月にしだれ桜まつりが開かれ、6万人を超える観光客で賑わい、訪れた人をしだれ桜の世界に引き込みます。,36.153946,136.333771,,,,,,
11_5,桜吹雪舞う悠久の山里　竹田,竹田川の渓流での川遊び,しだれ桜が咲く美しい竹田の里では、毎年４月にしだれ桜まつりが開かれ、6万人を超える観光客で賑わい、訪れた人をしだれ桜の世界に引き込みます。,36.17252,136.3302,,,,,,
12_1,命を育む母なる大河　九頭竜川,法恩寺山から見る九頭竜川,"勝山市にある法恩寺山（標高1,357m）からは、雄大に流れる九頭竜川と勝山の市街地を一望できます。晴れた日には、福井平野まで見渡すことができ、ダイナミックな眺望を楽しめます。",36.067417,136.543243,,,,,,
12_2,命を育む母なる大河　九頭竜川,勝山弁天桜,"勝山市にある法恩寺山（標高1,357m）からは、雄大に流れる九頭竜川と勝山の市街地を一望できます。晴れた日には、福井平野まで見渡すことができ、ダイナミックな眺望を楽しめます。",36.058189,136.495087,,,,,,
12_3,命を育む母なる大河　九頭竜川,九頭竜川（五松橋より望む）,"勝山市にある法恩寺山（標高1,357m）からは、雄大に流れる九頭竜川と勝山の市街地を一望できます。晴れた日には、福井平野まで見渡すことができ、ダイナミックな眺望を楽しめます。",36.096966,136.298279,,,,,,
12_4,命を育む母なる大河　九頭竜川,鳴鹿大堰,"勝山市にある法恩寺山（標高1,357m）からは、雄大に流れる九頭竜川と勝山の市街地を一望できます。晴れた日には、福井平野まで見渡すことができ、ダイナミックな眺望を楽しめます。",36.102238,136.321487,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/124.jpg,,,,
12_5,命を育む母なる大河　九頭竜川,太公望で賑わう九頭竜川,"勝山市にある法恩寺山（標高1,357m）からは、雄大に流れる九頭竜川と勝山の市街地を一望できます。晴れた日には、福井平野まで見渡すことができ、ダイナミックな眺望を楽しめます。",36.095997,136.292267,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/125.jpg,,,,
13_1,風を浴びて　永平寺から福井に続く自転車道,日野川堤防上の自転車道,永平寺から福井までの区間にはサイクリングの楽しめる道が続いています。特に鳴鹿大堰から福井運動公園までの主に堤防沿いには総延長２６㎞の「永平寺福井自転車道」が整備され、長く続く自転車道を走れば、河川沿いのシバザクラや菜の花などの自然景観が楽しめます。,36.078102,136.183975,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/131.jpg,,,,
13_2,風を浴びて　永平寺から福井に続く自転車道,サイクリング風景,永平寺から福井までの区間にはサイクリングの楽しめる道が続いています。特に鳴鹿大堰から福井運動公園までの主に堤防沿いには総延長２６㎞の「永平寺福井自転車道」が整備され、長く続く自転車道を走れば、河川沿いのシバザクラや菜の花などの自然景観が楽しめます。,36.099743,136.299225,,,,,,
13_3,風を浴びて　永平寺から福井に続く自転車道,シバザクラ,永平寺から福井までの区間にはサイクリングの楽しめる道が続いています。特に鳴鹿大堰から福井運動公園までの主に堤防沿いには総延長２６㎞の「永平寺福井自転車道」が整備され、長く続く自転車道を走れば、河川沿いのシバザクラや菜の花などの自然景観が楽しめます。,36.103798,136.326828,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/133.jpg,,,,
13_4,風を浴びて　永平寺から福井に続く自転車道,河川公園,永平寺から福井までの区間にはサイクリングの楽しめる道が続いています。特に鳴鹿大堰から福井運動公園までの主に堤防沿いには総延長２６㎞の「永平寺福井自転車道」が整備され、長く続く自転車道を走れば、河川沿いのシバザクラや菜の花などの自然景観が楽しめます。,36.081535,136.403244,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/134.jpg,,,,
